caseid,tname,tid
3085,SNUADC/PLETH,61aa7741a66a11d87ab361c02cef30d4d7995baf
3085,Solar8000/ART_DBP,e56c3745d5d9f068e8156c21544ca5b7e4a00717
3085,Solar8000/ART_SBP,bffbdee5905397f8936b87185abd58e9bc95f666
3102,SNUADC/PLETH,0e7bf550dc7003ad00ca8d9cfd9503d0502f188b
3102,Solar8000/ART_DBP,5d977e80d1f125f1c77e95b35f74dce6c0ae3251
3102,Solar8000/ART_SBP,5ba3c2d901cf2285d3a108b1d3db295724ba8af4
3154,SNUADC/PLETH,0c4570072831b4bf28a3c3b7a464ce744865345e
3154,Solar8000/ART_DBP,ffca8067e610106137cf016ee0ec667bc9f97101
3154,Solar8000/ART_SBP,2335d579e60f5dab4c5762d62bc0f92624a8a221
3217,SNUADC/PLETH,fd22433043f186211375dc60d4652504aae52f34
3217,Solar8000/ART_DBP,b7d70be330e9273d69f9d06fcf25ac1951404647
3217,Solar8000/ART_SBP,bc893266e498e9d913d262bec8894bde1ef885f3
3249,SNUADC/PLETH,d56bdc5542f4bcc5bd08bf0447a4f133f167b3d0
3249,Solar8000/ART_DBP,a52bcd05149770a5eaee33f0ed31d4c5dc9086df
3249,Solar8000/ART_SBP,84158f9a471505eafcf9f04598bd032a0022ee76
3277,SNUADC/PLETH,a00f7d7aa0fa66d6ac2628384343528c6c71f500
3277,Solar8000/ART_DBP,d8c93114ecdef7ec527565e9ed6d3b368a3ce247
3277,Solar8000/ART_SBP,4c304d97ac9c7308536d7436f35784e7c9c39ebd
3344,SNUADC/PLETH,e54b665b0c7343c0c3c69b05a5615e47fe479ce5
3344,Solar8000/ART_DBP,152d15abdc7bfb91b8ccbf368f941694918d67d8
3344,Solar8000/ART_SBP,b7d58570e4420335b46f21c2e9b5cfec3abc5e50
3460,SNUADC/PLETH,1b939fb8d0509dd3c986c599a7583724c9ee8360
3460,Solar8000/ART_DBP,39249fe6c95234bdf6048f9bd0c42d1f63ae5239
3460,Solar8000/ART_SBP,b45dd2b1024c6ee35e500b7f7dcc7677b5b8b485
3484,SNUADC/PLETH,8020a0c4e818b9e8ad9ee7d2478e2819c3e23e06
3484,Solar8000/ART_DBP,391c026182edd4be7b694be577f30190e544257b
3484,Solar8000/ART_SBP,b455c42db2c3971acd7faf428a3ed5fc27d33dc1
3500,SNUADC/PLETH,81fc4645647842ff26908a21e5cc82de30208d3e
3500,Solar8000/ART_DBP,dd6857f5847add62662dc713e0800ca92cf16c97
3500,Solar8000/ART_SBP,fe2c675c3da4f89e0168642b08228d8a63b897ef
3519,SNUADC/PLETH,89512d2353fabd8c24acc109bc7e566e205753b3
3519,Solar8000/ART_DBP,2ad49112d572022cd91058ad91bdc1d6ed5ffdd1
3519,Solar8000/ART_SBP,4b91868de317a41a3ee1b4c043987f50a62d58b6
3567,SNUADC/PLETH,ea84b2e6c874f249969b458ceb8a0130392900fe
3567,Solar8000/ART_DBP,f647f6b2371aea9875277b0228bf9366bebde8ad
3567,Solar8000/ART_SBP,a5e578a97dec0c46bc49e8883c7ec670f5cce0fd
3785,SNUADC/PLETH,765fb5e2b8325233744bd7d84e16220f9cb4eae9
3785,Solar8000/ART_DBP,7f4fcd801ba013ef7b66d7130e95ad0068452149
3785,Solar8000/ART_SBP,609140eb04cf4bc81937e01166833e98aa286bdc
3800,SNUADC/PLETH,bbe7f86c2861aa2422153ad614c06d62c4f5b112
3800,Solar8000/ART_DBP,6835cb4d9c21ea5954e8dfc4e710d514007fd4bc
3800,Solar8000/ART_SBP,972fb8f4e388a1e82de2df60feaac823e3ce9ec7
3978,SNUADC/PLETH,72b0b9e09bc7e276c1b4dbba551326eb99c10b60
3978,Solar8000/ART_DBP,2f26710c29949d5e7286460a756b2fc57059a9fa
3978,Solar8000/ART_SBP,a6202a5fcc961706163ca122eb5c64ff6826d734
4010,SNUADC/PLETH,17eaab7ca80871f2236ae9d7661a2ad00f462187
4010,Solar8000/ART_DBP,e72377e2eb7142349c69d671550b8a27b8e4ee7d
4010,Solar8000/ART_SBP,234a01b0d9aba43c41a6b23a3d7580fa1d4b9e9f
4101,SNUADC/PLETH,0a402a88391e021a847046222115c9025dc5cd73
4101,Solar8000/ART_DBP,f4842f2d2dc1b7b94a2753983ce8cf211bd16203
4101,Solar8000/ART_SBP,e19506b9c6afa7913bfbff9f3e08710471c9f880
4135,SNUADC/PLETH,cc13305e682923c44a15ce37c6547c5db371167f
4135,Solar8000/ART_DBP,d80039c6c08e42e7add6bd8de793c4b14feb9dca
4135,Solar8000/ART_SBP,18f71480a157a66e6637fcf6f71d4186a4ca4ee5
4163,SNUADC/PLETH,3c7f3646313a81a51b759ad210f70b2eb4eac35c
4163,Solar8000/ART_DBP,0a2a68073a6f0563e8fa5df2e2c5f4b4c0121732
4163,Solar8000/ART_SBP,3b18ec35a73aa5c57c95b6e817833eb63466c12e
4202,SNUADC/PLETH,9955e3c4678934dc31ccae9036dc7d20e514226b
4202,Solar8000/ART_DBP,1d18e9703fed103f2c2b79aead80f30a9c0792c3
4202,Solar8000/ART_SBP,127a14b9ddadfcc8a07e473d7003057c669940ec
4207,SNUADC/PLETH,2a919dea990fcaeff74603bc0dbb96b6d4b50b19
4207,Solar8000/ART_DBP,9b9cb73288fb4bea05f802b26458496f2fb20b26
4207,Solar8000/ART_SBP,672893bee374c560031677a65338761d28e7474c
4241,SNUADC/PLETH,947ea057ca9c88eecb362bb52dbd56ba2769ea0e
4241,Solar8000/ART_DBP,6823c60840bad761efef1e3074a51e03d725a1de
4241,Solar8000/ART_SBP,b99b33425245618a20bf0fe4fce4ffbd36a3c771
4262,SNUADC/PLETH,2d85bb5f3f0509f973bf491ebdd5e58d3a366aab
4262,Solar8000/ART_DBP,cae644985e9d8d0e6e32f52cfd3a2396b4284d6f
4262,Solar8000/ART_SBP,b110ab217c65d91d91992d1ad5c6cdae8a364773
4309,SNUADC/PLETH,825b08caf4b958947e13f48fe46e00caa4367c0b
4309,Solar8000/ART_DBP,18b05975be549711c1b9182a7019c611f78bdeb6
4309,Solar8000/ART_SBP,06dc6b6e964a473f3df9eb195a6ab1df2aefd7dc
4322,SNUADC/PLETH,92c61cdc919a0353050d78224c6c209a3362abe7
4322,Solar8000/ART_DBP,4b8134b173d2f1f73a7cfda6b6408567111e1fa1
4322,Solar8000/ART_SBP,17bd399e8b80f53692cd8e4334c75c4071a933e3
4354,SNUADC/PLETH,59e05f51ec097c2b4ae0660f16c31e893cb12640
4354,Solar8000/ART_DBP,2c6a3a8d2d43db38585e46de48ea426c0d1099f3
4354,Solar8000/ART_SBP,abb5e17bb4fe303144eb9eadce41cf2ec43a1404
4456,SNUADC/PLETH,3b32603dafe8417360fa7b8b43d192aff37cb182
4456,Solar8000/ART_DBP,f35aee09d83ff38480ec00e6047240ab40df5b96
4456,Solar8000/ART_SBP,bec62681fdb240545a67d27ca98a849dcc9ba2ad
