epoch,train_loss,mae_sbp,mae_dbp,mean_mae,worst_target_mae,rmse_sbp,rmse_dbp,bias_sbp,bias_dbp,pearson_sbp,pearson_dbp,selection_score,tail_count,tail_mae_sbp,tail_mae_dbp,high_count,high_mae_sbp,high_mae_dbp,low_count,low_mae_sbp,low_mae_dbp,high_bp_sensitivity,high_bp_specificity,sbp_within_5,sbp_within_10,sbp_within_15,dbp_within_5,dbp_within_10,dbp_within_15,clinical_selection_score,run_id,stage,backbone,view,duration_seconds,engineered,head,loss,augmentation,balance,seed,parameters,trainable_parameters,train_samples,eval_samples,runtime_seconds,candidate_id,innovation_label,selection_role,candidate_number,cv_seed,training_seed,fold,status,train_subjects,test_subjects,patient_overlap,checkpoint_saved
5,0.6113020474998114,12.680219650268556,8.252333641052246,10.466276168823242,12.680219650268556,16.161203384399414,10.501629829406738,1.418597936630249,1.6383469104766846,0.4268119105698612,0.5052910951723142,0.6897400617599487,4534,14.15560245513916,9.988658905029297,689,25.394798278808597,15.607307434082031,5502,12.079757690429688,8.076719284057617,0.058055152394775,0.9992875801472334,0.253539677313138,0.4811765997146306,0.6655690923060037,0.368345955438481,0.6802765887388871,0.8611568433761387,0.7176783680915833,I200C_C1_seed2718_fold5,INNOVATION200_CONFIRM,resnet,multiview,10.0,none,multitask,multitask,jitter_scale,none,2723,1146884,1146884,36578,9111,10.816262245178224,PRIOR_WINNER_FIXED,prior_resnet_multiview10_multitask,fixed_prior_winner,1,2718,2723,5,ok,1220,304,0,True
3,0.627803869584468,12.81997299194336,7.924315452575684,10.37214469909668,12.81997299194336,16.349477767944336,10.426549911499023,1.4876329898834229,-0.5167105197906494,0.407795950606773,0.5011935429020338,0.6803377866744995,4534,14.361988067626951,8.34484577178955,689,26.05112075805664,17.45209503173828,5502,12.21374225616455,6.652166843414307,0.0,1.0,0.2445395675557019,0.483920535616288,0.6632641861486116,0.4016024585665679,0.7095818241685874,0.8721325869827681,0.6953917145729065,I200C_C2_seed2718_fold5,INNOVATION200_CONFIRM,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,amplitude_warp,none,2723,705721,705721,36578,9111,7.817267894744873,I200_TRAIN_003_7a8882a0ec,adamw_3e4_cos_amplitude_warp,best_normalized_accuracy,2,2718,2723,5,ok,1220,304,0,True
3,0.6434096478666934,13.497536659240724,8.362430572509766,10.929983139038086,13.497536659240724,17.01907730102539,10.670276641845703,5.069122314453125,1.6294747591018677,0.4097896307624624,0.4813129168451259,0.7170783877372742,4534,15.986478805541992,9.889349937438965,689,23.19419860839844,15.81007957458496,5502,13.710494041442873,8.143548965454102,0.0145137880986937,0.9997625267157444,0.2325760070244759,0.4529689386455932,0.6313247722533202,0.3674678959499506,0.669410602568324,0.8569860608056196,0.7499823570251465,I200C_C3_seed2718_fold5,INNOVATION200_CONFIRM,conv_transformer_lite,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,2723,148804,148804,36578,9111,5.511653661727905,I200_ARCH_073_f3d457acb9,convtransformer_w64_p15_d1,best_tail_aware_accuracy,3,2718,2723,5,ok,1220,304,0,True
4,0.5662386598387313,12.654973983764648,7.993143558502197,10.324058532714844,12.654973983764648,16.26449203491211,10.505252838134766,0.1733333468437194,-0.6617640256881714,0.4220506776236357,0.4971974344670895,0.6785142421722412,4534,13.592037200927734,8.26434326171875,689,26.203969955444336,17.023887634277344,5502,11.726078987121582,6.655073642730713,0.0725689404934687,0.9972690572310616,0.2579299747557897,0.4901767094720667,0.664910547689606,0.3997365821534409,0.7049720118538031,0.8702667105696411,0.6878211498260498,I200C_C4_seed2718_fold5,INNOVATION200_CONFIRM,adaptive_resnet,multiview_zscore,10.0,none,direct,huber_ccc,jitter_scale,none,2723,926775,926775,36578,9111,10.18415355682373,I200_OBJECTIVE_029_26d6c1ef0d,multiview10_ccc020,best_direct_high_bp_sensitivity_under_accuracy_gate,4,2718,2723,5,ok,1220,304,0,True
3,0.6298645191791794,13.16735553741455,8.308642387390137,10.737998962402344,13.16735553741455,16.797565460205078,10.62948226928711,3.5836732387542725,1.964416027069092,0.4129559721438391,0.4977120636099088,0.7056562900543213,4534,14.961957931518556,9.941052436828612,689,23.23740005493164,15.105372428894045,5502,12.91449737548828,8.245171546936035,0.09288824383164,0.9939444312514842,0.2451981121720996,0.4707496432883328,0.644715179453408,0.3759192185270552,0.672374053342114,0.8587421797826803,0.7347733974456787,I200C_C5_seed2718_fold5,INNOVATION200_CONFIRM,morphology_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,2723,334433,334433,36578,9111,7.702723979949951,I200_ARCH_051_79a6655a84,morphology_w64_eca_attention,best_parameter_efficient_under_accuracy_gate,5,2718,2723,5,ok,1220,304,0,True
5,0.6001319298569444,13.07301425933838,8.583878517150879,10.828446388244627,13.07301425933838,16.57992935180664,11.297334671020508,-2.280933618545532,-1.5853058099746704,0.4305257032208072,0.4389094643401101,0.7188894748687744,4619,13.429689407348633,8.215795516967773,740,27.98202514648437,19.010622024536133,5496,11.547133445739746,6.484554290771484,0.0783783783783783,0.9955852523565208,0.249424405218726,0.4670540510908891,0.6468588970507619,0.3798925556408288,0.6725139787304024,0.8473851551364981,0.7176370620727539,I200C_C1_seed57721_fold1,INNOVATION200_CONFIRM,resnet,multiview,10.0,none,multitask,multitask,jitter_scale,none,57722,1146884,1146884,36568,9121,10.77919054031372,PRIOR_WINNER_FIXED,prior_resnet_multiview10_multitask,fixed_prior_winner,1,57721,57722,1,ok,1219,305,0,True
3,0.6200065160296975,13.19245719909668,8.66890811920166,10.930683135986328,13.19245719909668,16.672632217407227,11.439532279968262,0.51363605260849,-1.6722924709320068,0.3961605050870928,0.4228931771175555,0.7257276773452759,4619,14.649176597595217,8.340611457824707,740,28.26664924621582,19.568567276000977,5496,12.16326904296875,6.619213104248047,0.0,1.0,0.2340752110514198,0.4555421554654095,0.6441179695208858,0.3824142089683148,0.6630851880276285,0.8411358403683806,0.7326223254203796,I200C_C2_seed57721_fold1,INNOVATION200_CONFIRM,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,amplitude_warp,none,57722,705721,705721,36568,9121,7.821809768676758,I200_TRAIN_003_7a8882a0ec,adamw_3e4_cos_amplitude_warp,best_normalized_accuracy,2,57721,57722,1,ok,1219,305,0,True
3,0.6348878834884204,13.240464210510254,8.958000183105469,11.099231719970703,13.240464210510254,16.780344009399414,11.518877983093262,-0.6534633636474609,0.7292587757110596,0.3956156493091488,0.4076708942991394,0.7388979196548462,4619,14.162593841552734,9.62968921661377,740,28.865875244140625,17.279722213745117,5496,11.864934921264648,7.969965934753418,0.0,1.0,0.2376932353908562,0.4597083653108211,0.6438986953184958,0.3545663852647736,0.6397324854730841,0.8301721302488763,0.7522517442703247,I200C_C3_seed57721_fold1,INNOVATION200_CONFIRM,conv_transformer_lite,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,57722,148804,148804,36568,9121,5.536536693572998,I200_ARCH_073_f3d457acb9,convtransformer_w64_p15_d1,best_tail_aware_accuracy,3,57721,57722,1,ok,1219,305,0,True
4,0.559602920609619,13.626553535461426,8.833931922912598,11.230242729187012,13.626553535461426,17.176742553710938,11.459446907043455,2.586493968963623,-0.0409861467778682,0.3901272386117462,0.4236699445827447,0.744692325592041,4619,15.317014694213867,9.10952854156494,740,24.00006103515625,17.42681121826172,5496,13.23003101348877,7.540404319763184,0.0945945945945946,0.9948693473332538,0.2300186383072031,0.444359171143515,0.6301940576691152,0.3681613858129591,0.6452143405328363,0.8336805174871177,0.7594040036201477,I200C_C4_seed57721_fold1,INNOVATION200_CONFIRM,adaptive_resnet,multiview_zscore,10.0,none,direct,huber_ccc,jitter_scale,none,57722,926775,926775,36568,9121,10.203209400177002,I200_OBJECTIVE_029_26d6c1ef0d,multiview10_ccc020,best_direct_high_bp_sensitivity_under_accuracy_gate,4,57721,57722,1,ok,1219,305,0,True
3,0.6225229645274697,13.297099113464355,8.972296714782715,11.134697914123535,13.297099113464355,16.90838050842285,11.618566513061523,-1.147416114807129,0.2046981304883957,0.3925232645042019,0.4115501891544081,0.7410764694213867,4619,14.035496711730955,9.254222869873049,740,29.15411949157715,17.699180603027344,5496,11.727575302124023,7.749924182891846,0.0,1.0,0.2359390417717355,0.4604758250191865,0.6428023243065454,0.3607060629316961,0.6436794211161057,0.8298432189452911,0.749153733253479,I200C_C5_seed57721_fold1,INNOVATION200_CONFIRM,morphology_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,57722,334433,334433,36568,9121,7.764350414276123,I200_ARCH_051_79a6655a84,morphology_w64_eca_attention,best_parameter_efficient_under_accuracy_gate,5,57721,57722,1,ok,1219,305,0,True
5,0.5998565258155942,12.964105606079102,8.235199928283691,10.599653244018556,12.964105606079102,16.363040924072266,10.580470085144045,-3.331937313079834,0.2280479669570922,0.436311473339506,0.5252704747605883,0.6998796463012695,4537,12.465457916259766,9.015782356262209,689,30.42603874206543,15.214659690856934,5559,11.144620895385742,7.294247627258301,0.0420899854862119,0.9984633569739952,0.2383867089299376,0.4634386271723685,0.6558093780741064,0.3868182315007105,0.6748278500382555,0.8547382227565854,0.7043752074241638,I200C_C1_seed57721_fold2,INNOVATION200_CONFIRM,resnet,multiview,10.0,none,multitask,multitask,jitter_scale,none,57723,1146884,1146884,36540,9149,10.798748016357422,PRIOR_WINNER_FIXED,prior_resnet_multiview10_multitask,fixed_prior_winner,1,57721,57723,2,ok,1219,305,0,True
3,0.6267326698877425,12.895715713500977,8.278458595275879,10.587087631225586,12.895715713500977,16.03691291809082,10.738085746765137,0.475168913602829,-0.951992392539978,0.4298814470979331,0.507892298964757,0.6997352838516235,4537,13.622820854187012,8.308387756347656,689,27.35837173461914,16.06884002685547,5559,11.974530220031738,6.761948585510254,0.0,1.0,0.2382774073669253,0.451743359930047,0.6428024920756367,0.3843042955514263,0.6809487375669472,0.8604219040332277,0.7051299214363098,I200C_C2_seed57721_fold2,INNOVATION200_CONFIRM,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,amplitude_warp,none,57723,705721,705721,36540,9149,7.819530248641968,I200_TRAIN_003_7a8882a0ec,adamw_3e4_cos_amplitude_warp,best_normalized_accuracy,2,57721,57723,2,ok,1219,305,0,True
