factor,value,runs,mean_sbp_mae,mean_dbp_mae,mean_of_mean_mae,best_mean_mae,mean_clinical_score,mean_high_bp_sensitivity,mean_runtime_seconds
pooling,gem,6,13.06059201558431,8.602850119272867,10.831720987955729,10.764862060546877,0.7115670243899027,0.0012406947890818,10.412072658538818
pooling,stats,52,13.06606780565702,8.609463581672081,10.83776565698477,10.711688995361328,0.7112173999731357,0.0024336705478144,9.745139011969933
pooling,attention,142,13.089659919201488,8.608218434830787,10.84893913672004,10.671364784240724,0.7128473994597583,0.0027959319190577,8.827100579167755
scheduler,cosine,24,13.013070106506348,8.51525350411733,10.764161785443624,10.671364784240724,0.7076278726259867,0.0034119106699751,9.572983374198278
scheduler,none,176,13.092142636125738,8.62108034437353,10.856611446900802,10.680209159851074,0.713033913211389,0.0025518836002706,9.05066105587916
stage,TRAIN,40,13.01814181804657,8.518590617179871,10.768366193771362,10.671364784240724,0.7079771608114243,0.0030397022332506,9.421054595708847
stage,ARCH,80,13.06046665906906,8.602470302581787,10.831468451023104,10.711688995361328,0.7109062924981118,0.0021712158808932,9.825131291151049
stage,OBJECTIVE,40,13.086191558837893,8.683936548233032,10.885063982009887,10.790555953979492,0.715116086602211,0.0025434243176178,6.391849005222321
stage,INPUT,40,13.188002967834471,8.634437847137452,10.911220359802249,10.75381565093994,0.717020109295845,0.003349875930521,10.103532487154007
view,multiview_zscore,145,13.052560740503772,8.585115912864948,10.818838303664634,10.671364784240724,0.7108747457635813,0.0025327286728843,9.4134984378157
view,multiview,5,13.136816596984865,8.55005054473877,10.843433570861816,10.75381565093994,0.7102627396583557,0.001985111662531,8.74161410331726
view,multiscale7,5,13.153474426269533,8.620589447021484,10.887031936645508,10.80482292175293,0.7160250186920166,0.0024813895781637,9.176428842544556
view,derivatives_zscore,25,13.091241912841795,8.704002494812011,10.897622108459473,10.763994216918944,0.7141154623031616,0.0020843672456575,5.794584827423096
view,derivatives,5,13.233221244812013,8.571474647521972,10.902347755432128,10.779193878173828,0.7191064953804016,0.0,8.044169712066651
view,ppg_bandpass,5,13.241472053527833,8.704373359680176,10.972922706604004,10.893404006958008,0.7194113373756409,0.0044665012406947,12.381605052947998
view,ppg_zscore,5,13.275117301940918,8.691098022460938,10.983107566833496,10.906728744506836,0.7237189769744873,0.0089330024813895,12.367889499664306
view,ppg,5,13.285584640502927,8.70928497314453,10.997434616088867,10.950963020324709,0.7209380269050598,0.0044665012406947,11.85750331878662
